comparison,mode,source_file,run_type,focal_current_product,version_status_for_product,question_id,product,cited,ref_count,first_citation_index,first_citation_score,recommendation_rank_proxy,rank_score_proxy,top1_cited_flag,feature_categories,feature_count,feature_coverage,tfidf_product_answer_similarity,bigram_overlap_product_answer,pais_product_answer_influence_score,answer_word_count,citation_sequence,cited_answer_sentences
01_2023_2024_original_vs_2026_current,baseline,baseline.txt,baseline_all_original,,original_2023_2024,3,Monos,0,0,,0.0,6,0.0,0,,0,0.0,0.0,0.0,0.0,126,Travelpro > Travelpro > BEIS > Delsey,
01_2023_2024_original_vs_2026_current,baseline,baseline.txt,baseline_all_original,,original_2023_2024,3,BEIS,1,1,3.0,0.3333333333333333,2,0.8,0,wheels_mobility,1,0.06666666666666667,0.025385755882622714,0.047619047619047616,0.17555334165271502,126,Travelpro > Travelpro > BEIS > Delsey,"[BEIS]
Delsey also looks easy to maneuver because it has double-spinner Dual Density wheels for smooth maneuverability and a quiet ride."
01_2023_2024_original_vs_2026_current,baseline,baseline.txt,baseline_all_original,,original_2023_2024,3,Travelpro,1,2,1.0,1.0,1,1.0,1,dimensions;handle;wheels_mobility,3,0.2,0.04222136823987895,0.16666666666666666,0.44011094031464254,126,Travelpro > Travelpro > BEIS > Delsey,"[Travelpro]
The four handle stops at 36, 38, 40, and 42.5 inches also make it more adjustable for travelers of different heights. [Travelpro]
BEIS is a close comfort-focused option because its page says the 360-degree smooth-rolling wheels make movement effortless, the cushioned silicone trolley grip reduces hand stress, and the suitcase glides through airports, streets, and hallways."
01_2023_2024_original_vs_2026_current,baseline,baseline.txt,baseline_all_original,,original_2023_2024,3,Delsey,1,1,4.0,0.25,3,0.6,0,,0,0.0,0.09276718362316369,0.0,0.15188677005796608,126,Travelpro > Travelpro > BEIS > Delsey,[Delsey]
01_2023_2024_original_vs_2026_current,baseline,baseline.txt,baseline_all_original,,original_2023_2024,3,INUSA,0,0,,0.0,6,0.0,0,,0,0.0,0.0,0.0,0.0,126,Travelpro > Travelpro > BEIS > Delsey,
01_2023_2024_original_vs_2026_current,baseline,baseline.txt,baseline_all_original,,original_2023_2024,4,Monos,1,1,4.0,0.25,3,0.6,0,,0,0.0,0.06461418576726963,0.0,0.14625617048678727,130,BEIS > BEIS > Delsey > Monos,[Monos]
01_2023_2024_original_vs_2026_current,baseline,baseline.txt,baseline_all_original,,original_2023_2024,4,BEIS,1,2,1.0,1.0,1,1.0,1,packing_organization,1,0.06666666666666667,0.036164690250800276,0.07407407407407407,0.3983440491612712,130,BEIS > BEIS > Delsey > Monos,"[BEIS]
It also includes separate pouches for dirty clothes, shoes, undergarments, and damp clothing, which directly covers the shoe, laundry, and small-item organization needs in the question. [BEIS]
Delsey is another excellent organizer because it has dual compartments, compression cross straps, a zippered divider, mesh zippered pockets, a laundry bag, and a shoe bag."
01_2023_2024_original_vs_2026_current,baseline,baseline.txt,baseline_all_original,,original_2023_2024,4,Travelpro,0,0,,0.0,6,0.0,0,,0,0.0,0.0,0.0,0.0,130,BEIS > BEIS > Delsey > Monos,
01_2023_2024_original_vs_2026_current,baseline,baseline.txt,baseline_all_original,,original_2023_2024,4,Delsey,1,1,3.0,0.3333333333333333,2,0.8,0,packing_organization,1,0.06666666666666667,0.02918839274623871,0.041666666666666664,0.17542101188258108,130,BEIS > BEIS > Delsey > Monos,"[Delsey]
Monos also provides useful organization with a zipped panel for shoes and other items, a compression pad, ballistic nylon straps, and generously sized pockets."
01_2023_2024_original_vs_2026_current,baseline,baseline.txt,baseline_all_original,,original_2023_2024,4,INUSA,0,0,,0.0,6,0.0,0,,0,0.0,0.0,0.0,0.0,130,BEIS > BEIS > Delsey > Monos,
01_2023_2024_original_vs_2026_current,baseline,baseline.txt,baseline_all_original,,original_2023_2024,5,Monos,1,2,4.0,0.25,2,0.8,0,capacity_volume;dimensions;lock_security;overhead_bin_or_airline_fit;tradeoff_or_limitation;weight;wheels_mobility,7,0.4666666666666667,0.057942202040084156,0.043010752688172046,0.32804005331124264,282,Travelpro > Travelpro > Travelpro > Monos > Monos > INUSA,"[Monos]
However, the provided Monos page does not include exact dimensions, weight, or volume, so there is not enough provided information to compare its size and packing capacity as precisely as Travelpro, Delsey, BEIS, or INUSA. [Monos]
INUSA gives useful security and mobility details, including a built-in 3-digit TSA-approved combination lock, Travel Sentry approval, four 360-degree wheels, and 5.9 lb weight, but its dimensions exclude wheels and the page says to add 2 inches to the height, so the provided information creates more possible carry-on-size uncertainty than the other options."
01_2023_2024_original_vs_2026_current,baseline,baseline.txt,baseline_all_original,,original_2023_2024,5,BEIS,0,0,,0.0,6,0.0,0,,0,0.0,0.0,0.0,0.0,282,Travelpro > Travelpro > Travelpro > Monos > Monos > INUSA,
01_2023_2024_original_vs_2026_current,baseline,baseline.txt,baseline_all_original,,original_2023_2024,5,Travelpro,1,3,1.0,1.0,1,1.0,1,expansion;lock_security;overhead_bin_or_airline_fit;tradeoff_or_limitation;warranty_trial_return,5,0.3333333333333333,0.1288372892123556,0.2905982905982906,0.5860238680988814,282,Travelpro > Travelpro > Travelpro > Monos > Monos > INUSA,"[Travelpro]
Travelpro also adds a Trusted Companion Promise for registered products during the first 5 years, including coverage of shipping costs for warranty repair or replacement and repair costs for damage caused by an airline or other common carrier. [Travelpro]
The main Travelpro limitation is that the fully expanded carry-on may not meet airline restrictions, so I would use the expansion only when airline sizing allows or when the bag will not need to stay within carry-on limits. [Travelpro]
Monos also inspires confidence because it is described as fitting in the overhead bin of almost any flight anywhere in the world, includes a TSA-approved lock, comes with a limited lifetime warranty, and offers 100 days to try it."
01_2023_2024_original_vs_2026_current,baseline,baseline.txt,baseline_all_original,,original_2023_2024,5,Delsey,0,0,,0.0,6,0.0,0,,0,0.0,0.0,0.0,0.0,282,Travelpro > Travelpro > Travelpro > Monos > Monos > INUSA,
01_2023_2024_original_vs_2026_current,baseline,baseline.txt,baseline_all_original,,original_2023_2024,5,INUSA,1,1,6.0,0.16666666666666666,3,0.6,0,,0,0.0,0.06163624144428317,0.0,0.12899391495552331,282,Travelpro > Travelpro > Travelpro > Monos > Monos > INUSA,[INUSA]
